N̼mero de viviendas libres terminadas.	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006
01	1035	1212	1959	1094	1177	885	1303	817	2255	2429	2683	2610	1416	2596	2404	1479
02	1124	299	1465	1519	1480	1295	2027	2005	2271	2527	1867	3890	3594	2344	2853	3079
03	29140	12157	9875	7425	5779	9920	11153	9232	15809	23853	31784	31284	30164	37948	41650	42828
04	4474	3320	1663	1694	1717	1735	1923	2116	3910	5194	9060	9416	10495	11837	8669	21635
05	1548	1548	1447	1435	1329	1403	1552	1125	1604	1735	2034	2047	1894	2213	2486	4001
06	912	1078	1210	3286	2203	2619	2498	2430	3748	3531	4841	5284	4866	4407	5452	4275
07	13315	7312	5043	4525	2420	4145	5327	3663	5873	9706	12047	12090	11537	8888	10372	10172
08	16620	19449	18370	18898	18539	21026	21687	34646	42832	42110	47358	44622	36943	48500	41811	42602
09	137	114	164	1983	1897	2499	2362	2398	3090	3883	5861	4351	4400	3988	4793	5618
10	537	566	612	1272	1478	1783	2114	1996	2237	2109	1970	1821	4802	3418	2746	3346
11	5791	3753	4358	5700	2442	4041	4170	5056	6032	9252	14021	12490	12897	11639	10389	16435
12	9308	7043	5443	5165	3991	2984	2454	3281	4329	5585	8083	9011	9135	11310	16992	14990
13	1122	501	2111	3105	2918	2845	3480	2882	4420	3910	3491	4359	4715	4662	4673	5335
14	1895	2547	2517	2588	1998	2552	1911	1890	2734	3057	3711	3573	3257	4668	4893	6203
15	5093	5475	4141	4801	3259	6447	7026	6306	8412	9685	14367	14630	13231	14036	14640	13449
16	571	527	889	1474	587	1296	997	909	924	1018	1803	1256	1371	1689	1530	2652
17	6373	4043	3622	3286	4408	5193	4773	5624	6739	9475	11364	10891	9959	14512	15269	14063
18	5286	6116	5790	6857	5020	6573	5013	4407	3719	2717	2260	2980	2757	10916	10591	13054
19	1290	1102	2475	2265	994	1267	1245	1448	2560	2503	3921	3181	2983	5370	4783	5895
20	1871	2373	3297	2895	2191	2379	5053	3101	4382	5167	4699	4498	2961	3077	4326	3990
21	3858	2969	3232	1696	1698	2958	4068	3558	4066	5796	7537	8456	7055	6574	6879	5681
22	1749	1147	841	725	1568	1198	1923	1382	2130	2460	3614	3737	3425	3822	4932	4337
23	2966	2441	2982	3170	3128	3448	3284	2280	2820	3493	4820	5500	4289	5818	3927	5509
24	1065	2176	1857	1888	1610	2247	2881	2342	2872	2872	4953	4877	5004	5393	5270	6563
25	1887	2225	1348	1443	1666	2449	2015	2249	2841	3799	4606	4377	4325	5848	7282	6997
26	1883	1863	1627	1080	1502	1692	2334	1719	2004	2393	3077	4233	3275	3620	4415	5434
27	1720	2338	2357	2108	0	1487	1776	1584	2527	2630	2950	3340	2432	2762	3389	3164
28	13853	15360	15943	10982	14451	21176	33823	29017	26880	31631	34587	40134	42094	56256	58576	61621
29	15825	10459	4509	4080	3056	4095	5199	10612	19043	38175	50853	60473	64787	38099	39836	35784
30	12534	7044	6427	6248	3803	4944	4988	4797	7341	8402	11846	11592	13929	21054	23258	41876
31	2390	2499	3272	2660	2767	3126	3257	2674	3391	3721	4867	4425	4386	4820	4577	5900
32	1930	1233	1555	1566	1359	1728	1060	771	1547	1669	2012	1651	1766	2512	2152	2530
33	4283	4341	3339	4851	2684	4057	3786	4128	4912	5274	6946	8920	8793	11385	11957	12764
34	1260	605	700	890	970	732	1183	1244	1265	1265	3097	2216	1347	1762	1544	2017
35	6517	2817	2766	2131	3457	4408	5229	6953	10821	12650	14403	13506	12029	13474	12139	13547
36	1918	1709	1863	3546	2175	4620	6010	5127	6325	7857	6320	10203	8736	10035	9267	10855
37	2353	1993	2428	2471	1996	2764	3735	2466	2628	2628	4049	3629	3294	3906	4350	4368
38	6445	3422	2942	2894	2267	3877	4371	4843	7794	10233	11118	14688	12823	11361	11074	12739
39	1460	1966	2130	1916	1007	1980	3028	3011	3926	4111	8855	6519	7864	7680	5786	8864
40	1264	1310	844	1169	939	1387	1625	1568	1722	2010	1949	2056	2244	2163	2494	3145
41	5004	5019	3370	6570	4694	4113	5497	2747	6247	7438	10484	11642	12230	15195	14336	19498
42	652	587	797	662	546	922	1636	587	1144	905	2191	1348	1463	998	914	901
43	5646	5636	4003	3570	2971	4631	5204	5172	8020	9804	13210	12260	17571	17698	17079	17155
44	68	265	595	687	1331	774	984	762	1309	824	825	945	1197	868	1272	1194
45	2499	2838	4536	5063	5373	5627	4640	3949	4693	4803	5356	5111	4770	8316	11351	19127
46	10164	6077	9154	9730	7412	8758	5173	7584	10147	12456	15541	20255	16740	20448	29401	26995
47	1488	2316	2074	1967	2388	3631	4889	5391	4450	4274	5799	5805	4397	4851	6793	9131
48	3002	757	2092	333	2356	1057	2443	4637	4996	5664	6709	7866	3579	4744	4421	4325
49	992	963	1320	1569	1211	828	1067	929	764	1248	1817	5357	1270	2393	1711	2488
50	3056	2692	2892	5514	9338	6922	8811	6183	8521	11503	9040	10073	10773	6334	6471	7334
51	554	648	109	64	81	105	33	217	130	653	606	328	345	290	247	174
52	243	251	48	283	271	243	312	816	1094	853	990	923	1121	796	332	514
